Valence,Arousal,FNO,FPS,X-axis
-0.26817,-0.11157,1,20,0.05
-0.27034,-0.11317,2,20,0.1
-0.2592,-0.10653,3,20,0.15
-0.26662,-0.1103,4,20,0.2
-0.25341,-0.10032,5,20,0.25
-0.26267,-0.10143,6,20,0.3
-0.26731,-0.10508,7,20,0.35
-0.28413,-0.10601,8,20,0.4
-0.31843,-0.13315,9,20,0.45
-0.30533,-0.10538,10,20,0.5
-0.30173,-0.08068,11,20,0.55
-0.3376,-0.11895,12,20,0.6
-0.30348,-0.08737,13,20,0.65
-0.22774,-0.04384,14,20,0.7
-0.2459,-0.07441,15,20,0.75
-0.24334,-0.07577,16,20,0.8
-0.20376,-0.02808,17,20,0.85
-0.20552,-0.02973,18,20,0.9
-0.24968,-0.03991,19,20,0.95
-0.28101,-0.03861,20,20,1.0
-0.25088,-0.03097,21,20,1.05
-0.25087,-0.03593,22,20,1.1
-0.22363,-0.02817,23,20,1.15
-0.2384,-0.05279,24,20,1.2
-0.22148,-0.05236,25,20,1.25
-0.22661,-0.06417,26,20,1.3
-0.23045,-0.08096,27,20,1.35
-0.2591,-0.08801,28,20,1.4
-0.26145,-0.09513,29,20,1.45
-0.2472,-0.08658,30,20,1.5
-0.22659,-0.05226,31,20,1.55
-0.21567,-0.06383,32,20,1.6
-0.19877,-0.0496,33,20,1.65
-0.21064,-0.04444,34,20,1.7
-0.19455,-0.04994,35,20,1.75
-0.20861,-0.04956,36,20,1.8
-0.28319,-0.04767,37,20,1.85
-0.22179,-0.03602,38,20,1.9
-0.21939,-0.03483,39,20,1.95
-0.23904,-0.01998,40,20,2.0
-0.23743,-0.0294,41,20,2.05
-0.22868,-0.03913,42,20,2.1
-0.24893,-0.04531,43,20,2.15
-0.22527,0.00298,44,20,2.2
-0.18832,-0.00718,45,20,2.25
-0.22373,-0.03649,46,20,2.3
-0.24546,-0.08004,47,20,2.35
-0.23169,-0.06188,48,20,2.4
-0.19763,-0.0341,49,20,2.45
-0.21919,-0.0454,50,20,2.5
-0.20304,-0.03991,51,20,2.55
-0.21074,-0.05327,52,20,2.6
-0.18933,-0.04916,53,20,2.65
-0.18997,-0.0257,54,20,2.7
-0.17645,-0.04736,55,20,2.75
-0.19026,-0.04743,56,20,2.8
-0.19936,-0.04957,57,20,2.85
-0.17979,-0.06598,58,20,2.9
-0.16594,-0.0654,59,20,2.95
-0.16579,-0.05075,60,20,3.0
-0.15512,-0.0618,61,20,3.05
-0.1899,-0.07831,62,20,3.1
-0.19261,-0.06924,63,20,3.15
-0.19621,-0.06094,64,20,3.2
-0.17238,-0.07645,65,20,3.25
-0.18318,-0.06769,66,20,3.3
-0.1749,-0.04715,67,20,3.35
-0.18025,-0.07227,68,20,3.4
-0.19352,-0.0665,69,20,3.45
-0.17327,-0.04089,70,20,3.5
-0.2207,-0.0534,71,20,3.55
-0.21057,-0.06138,72,20,3.6
-0.19517,-0.05128,73,20,3.65
-0.17516,-0.04842,74,20,3.7
-0.18911,-0.03827,75,20,3.75
-0.1811,-0.03654,76,20,3.8
-0.15371,-0.02378,77,20,3.85
-0.13281,-0.03273,78,20,3.9
-0.1893,-0.05534,79,20,3.95
-0.2049,-0.05083,80,20,4.0
-0.19671,-0.033,81,20,4.05
-0.19774,-0.04292,82,20,4.1
-0.163,-0.04498,83,20,4.15
-0.14264,-0.19665,84,20,4.2
-0.17419,-0.18902,85,20,4.25
-0.17668,-0.14311,86,20,4.3
-0.22189,-0.07094,87,20,4.35
-0.18924,-0.04898,88,20,4.4
-0.19968,-0.03618,89,20,4.45
-0.21486,-0.01168,90,20,4.5
-0.21963,0.00255,91,20,4.55
-0.1857,0.02041,92,20,4.6
-0.19812,0.01726,93,20,4.65
-0.2046,0.02843,94,20,4.7
-0.2194,0.01228,95,20,4.75
-0.17923,0.00619,96,20,4.8
-0.19164,0.01608,97,20,4.85
-0.1831,0.01072,98,20,4.9
-0.19055,0.03682,99,20,4.95
-0.17257,0.03005,100,20,5.0
-0.16843,0.01379,101,20,5.05
-0.19209,0.00589,102,20,5.1
-0.18277,-0.00475,103,20,5.15
-0.17908,-0.03512,104,20,5.2
-0.15975,-0.03229,105,20,5.25
-0.15679,-0.01402,106,20,5.3
-0.18991,-0.01193,107,20,5.35
-0.15834,-0.01324,108,20,5.4
-0.18533,0.00144,109,20,5.45
-0.16465,-0.00185,110,20,5.5
-0.144,-0.00218,111,20,5.55
-0.1371,-0.00436,112,20,5.6
-0.14099,0.00449,113,20,5.65
-0.12699,0.0123,114,20,5.7
-0.1508,0.0144,115,20,5.75
-0.12868,0.01212,116,20,5.8
-0.14369,0.01805,117,20,5.85
-0.15205,0.02224,118,20,5.9
-0.19772,0.05066,119,20,5.95
-0.19236,0.0271,120,20,6.0
-0.21467,0.06573,121,20,6.05
-0.20386,0.07977,122,20,6.1
-0.2212,0.09141,123,20,6.15
-0.22727,0.05301,124,20,6.2
-0.25197,0.08109,125,20,6.25
-0.24844,0.08128,126,20,6.3
-0.24078,0.07382,127,20,6.35
-0.22446,0.0767,128,20,6.4
-0.24621,0.1591,129,20,6.45
-0.22413,0.09616,130,20,6.5
-0.2195,0.09989,131,20,6.55
-0.22006,0.07661,132,20,6.6
-0.2164,0.07334,133,20,6.65
-0.20613,0.0638,134,20,6.7
-0.19079,0.03783,135,20,6.75
-0.1858,0.04447,136,20,6.8
-0.18319,0.02682,137,20,6.85
-0.18321,0.03174,138,20,6.9
-0.19304,0.06131,139,20,6.95
-0.16926,0.02161,140,20,7.0
-0.16292,0.02148,141,20,7.05
-0.17707,0.00593,142,20,7.1
-0.18215,0.03214,143,20,7.15
-0.19592,0.03488,144,20,7.2
-0.17776,0.02704,145,20,7.25
-0.17857,0.02158,146,20,7.3
-0.17583,-9e-05,147,20,7.35
-0.16973,-0.00315,148,20,7.4
-0.22081,0.01778,149,20,7.45
-0.22991,0.04082,150,20,7.5
-0.24422,0.10056,151,20,7.55
-0.22553,0.13073,152,20,7.6
-0.201,0.11148,153,20,7.65
-0.18025,0.06699,154,20,7.7
-0.20045,0.09555,155,20,7.75
-0.20595,0.08171,156,20,7.8
-0.23383,0.0608,157,20,7.85
-0.248,0.10849,158,20,7.9
-0.20018,0.04337,159,20,7.95
-0.19674,0.02062,160,20,8.0
-0.20111,0.02709,161,20,8.05
-0.18914,0.03999,162,20,8.1
-0.1767,0.01652,163,20,8.15
-0.17127,0.00839,164,20,8.2
-0.17266,0.00241,165,20,8.25
-0.26138,0.10748,166,20,8.3
-0.27088,0.10492,167,20,8.35
-0.27575,0.09148,168,20,8.4
-0.29793,0.09854,169,20,8.45
-0.25724,0.09142,170,20,8.5
-0.26369,0.1029,171,20,8.55
-0.16546,0.01141,172,20,8.6
-0.15499,0.01427,173,20,8.65
-0.16476,0.02405,174,20,8.7
-0.26821,0.10695,175,20,8.75
-0.24151,0.11183,176,20,8.8
-0.26783,0.12964,177,20,8.85
-0.16693,0.02342,178,20,8.9
-0.19081,0.0354,179,20,8.95
-0.17941,0.04527,180,20,9.0
-0.20552,0.06654,181,20,9.05
-0.30078,0.14933,182,20,9.1
-0.28804,0.09999,183,20,9.15
-0.28028,0.10297,184,20,9.2
-0.30083,0.13122,185,20,9.25
-0.19321,0.00069,186,20,9.3
-0.26877,0.08434,187,20,9.35
-0.19474,0.0206,188,20,9.4
-0.1752,0.02903,189,20,9.45
-0.21219,0.05117,190,20,9.5
-0.18233,0.03109,191,20,9.55
-0.18319,0.05198,192,20,9.6
-0.21114,0.05753,193,20,9.65
-0.29956,0.12206,194,20,9.7
-0.29228,0.06916,195,20,9.75
-0.21027,-0.0004,196,20,9.8
-0.33156,0.12415,197,20,9.85
-0.35492,0.096,198,20,9.9
-0.32072,0.0028,199,20,9.95
-0.31203,0.04559,200,20,10.0
-0.31671,0.06833,201,20,10.05
-0.28276,0.01713,202,20,10.1
-0.30199,0.03371,203,20,10.15
-0.24054,-0.01623,204,20,10.2
-0.35287,-0.01555,205,20,10.25
-0.29464,-0.05035,206,20,10.3
-0.3452,0.00323,207,20,10.35
-0.29014,0.03785,208,20,10.4
-0.32312,0.05431,209,20,10.45
-0.31988,0.06944,210,20,10.5
-0.21241,0.00927,211,20,10.55
-0.30946,0.09292,212,20,10.6
-0.21109,0.01154,213,20,10.65
-0.26092,0.02712,214,20,10.7
-0.21123,-0.0076,215,20,10.75
-0.18869,0.00035,216,20,10.8
-0.33344,-0.00456,217,20,10.85
-0.31907,-0.05315,218,20,10.9
-0.22341,-0.0075,219,20,10.95
-0.23033,-0.04071,220,20,11.0
-0.22232,0.04721,221,20,11.05
-0.24737,0.02129,222,20,11.1
-0.24818,-0.01228,223,20,11.15
-0.23107,0.06886,224,20,11.2
-0.2241,0.03687,225,20,11.25
-0.23557,0.04806,226,20,11.3
-0.22303,0.039,227,20,11.35
-0.22314,0.05659,228,20,11.4
-0.24319,0.10037,229,20,11.45
-0.22722,0.10394,230,20,11.5
-0.26179,0.14382,231,20,11.55
-0.24091,0.11947,232,20,11.6
-0.2645,0.14079,233,20,11.65
-0.29222,0.16341,234,20,11.7
-0.32162,0.21175,235,20,11.75
-0.30504,0.1539,236,20,11.8
-0.3316,0.19558,237,20,11.85
-0.34117,0.22284,238,20,11.9
-0.31844,0.24385,239,20,11.95
-0.31525,0.22332,240,20,12.0
-0.32049,0.21234,241,20,12.05
-0.29231,0.20061,242,20,12.1
-0.28728,0.19231,243,20,12.15
-0.295,0.2013,244,20,12.2
-0.2769,0.17153,245,20,12.25
-0.29084,0.1961,246,20,12.3
-0.30554,0.18296,247,20,12.35
-0.33249,0.24756,248,20,12.4
-0.35529,0.2911,249,20,12.45
-0.33108,0.23742,250,20,12.5
-0.23344,0.12183,251,20,12.55
-0.23002,0.1168,252,20,12.6
-0.21198,0.12743,253,20,12.65
-0.24413,0.16313,254,20,12.7
-0.21228,0.08396,255,20,12.75
-0.20176,0.08806,256,20,12.8
-0.18982,0.09189,257,20,12.85
-0.26394,0.16288,258,20,12.9
-0.26545,0.1944,259,20,12.95
-0.34059,0.28125,260,20,13.0
-0.30681,0.25512,261,20,13.05
-0.27691,0.19398,262,20,13.1
-0.24873,0.14862,263,20,13.15
-0.26229,0.17875,264,20,13.2
-0.24582,0.17323,265,20,13.25
-0.23741,0.14719,266,20,13.3
-0.26611,0.16793,267,20,13.35
-0.25067,0.1626,268,20,13.4
-0.28587,0.22103,269,20,13.45
-0.27731,0.20967,270,20,13.5
-0.268,0.20007,271,20,13.55
-0.25641,0.14499,272,20,13.6
-0.28118,0.1739,273,20,13.65
-0.28768,0.19417,274,20,13.7
-0.32545,0.24504,275,20,13.75
-0.29016,0.20165,276,20,13.8
-0.26011,0.13599,277,20,13.85
-0.26912,0.14225,278,20,13.9
-0.27325,0.1535,279,20,13.95
-0.25813,0.15952,280,20,14.0
-0.23998,0.14818,281,20,14.05
-0.26859,0.14027,282,20,14.1
-0.28785,0.18105,283,20,14.15
-0.25161,0.10199,284,20,14.2
-0.26047,0.10955,285,20,14.25
-0.24843,0.08985,286,20,14.3
-0.26962,0.11976,287,20,14.35
-0.25928,0.09529,288,20,14.4
-0.28268,0.10796,289,20,14.45
-0.2546,0.08516,290,20,14.5
-0.24591,0.09842,291,20,14.55
-0.22022,0.04007,292,20,14.6
-0.23523,0.0218,293,20,14.65
-0.27009,0.09009,294,20,14.7
-0.2642,0.08243,295,20,14.75
-0.22532,0.08215,296,20,14.8
-0.22164,0.11131,297,20,14.85
-0.23546,0.13283,298,20,14.9
-0.282,0.18396,299,20,14.95
-0.25317,0.11053,300,20,15.0
-0.22946,0.06563,301,20,15.05
-0.22575,0.07846,302,20,15.1
-0.21752,0.09111,303,20,15.15
-0.2016,0.04869,304,20,15.2
-0.19627,0.04825,305,20,15.25
-0.16383,0.01624,306,20,15.3
-0.18715,0.00053,307,20,15.35
-0.18511,-0.02253,308,20,15.4
-0.1908,0.00653,309,20,15.45
-0.23047,0.03183,310,20,15.5
-0.23729,0.04015,311,20,15.55
-0.23612,0.04258,312,20,15.6
-0.24572,0.04863,313,20,15.65
-0.22688,0.03081,314,20,15.7
-0.28744,0.10214,315,20,15.75
-0.26423,0.10817,316,20,15.8
-0.23302,0.03407,317,20,15.85
-0.21431,0.02276,318,20,15.9
-0.1811,0.01102,319,20,15.95
-0.18813,-0.03687,320,20,16.0
-0.27268,0.03512,321,20,16.05
-0.22675,0.08315,322,20,16.1
-0.25732,0.04036,323,20,16.15
-0.24486,0.03835,324,20,16.2
-0.22427,0.02144,325,20,16.25
-0.19448,0.0308,326,20,16.3
-0.18524,0.02772,327,20,16.35
-0.18653,0.01246,328,20,16.4
-0.20912,0.00835,329,20,16.45
-0.17198,-0.00634,330,20,16.5
-0.1891,0.00508,331,20,16.55
-0.20128,0.0212,332,20,16.6
-0.19659,0.02763,333,20,16.65
-0.20567,0.03139,334,20,16.7
-0.22001,0.05798,335,20,16.75
-0.23393,0.03915,336,20,16.8
-0.23904,0.02772,337,20,16.85
-0.23201,0.01982,338,20,16.9
-0.24318,0.05374,339,20,16.95
-0.24109,0.00907,340,20,17.0
-0.22613,-0.001,341,20,17.05
-0.23153,-0.02534,342,20,17.1
-0.21756,-0.01939,343,20,17.15
-0.20034,0.01902,344,20,17.2
-0.19953,-0.02996,345,20,17.25
-0.22449,-0.05468,346,20,17.3
-0.25428,-0.01547,347,20,17.35
-0.23107,0.02092,348,20,17.4
-0.20457,-0.01208,349,20,17.45
-0.21559,0.00512,350,20,17.5
-0.21327,0.02632,351,20,17.55
-0.2475,-0.16058,352,20,17.6
-0.23642,-0.15742,353,20,17.65
-0.22229,-0.03767,354,20,17.7
-0.24218,-0.0018,355,20,17.75
-0.2295,0.04846,356,20,17.8
-0.24342,0.05693,357,20,17.85
-0.24555,0.01547,358,20,17.9
-0.23343,-0.01105,359,20,17.95
-0.22191,0.07124,360,20,18.0
-0.2629,0.07621,361,20,18.05
-0.25962,0.05674,362,20,18.1
-0.23268,0.06596,363,20,18.15
-0.21325,0.06112,364,20,18.2
-0.2199,0.09076,365,20,18.25
-0.24769,0.09789,366,20,18.3
-0.26683,0.11934,367,20,18.35
-0.2497,0.07334,368,20,18.4
-0.2545,0.09177,369,20,18.45
-0.25961,0.13308,370,20,18.5
-0.24798,0.13122,371,20,18.55
-0.26192,0.11799,372,20,18.6
-0.21717,0.0799,373,20,18.65
-0.22225,0.08363,374,20,18.7
-0.25215,0.1111,375,20,18.75
-0.26958,0.10169,376,20,18.8
-0.26045,0.07534,377,20,18.85
-0.26304,0.07434,378,20,18.9
-0.27196,0.05791,379,20,18.95
-0.24808,0.08592,380,20,19.0
-0.23546,0.04421,381,20,19.05
-0.2401,0.02979,382,20,19.1
-0.22531,0.01115,383,20,19.15
-0.23927,0.01781,384,20,19.2
-0.25667,0.13652,385,20,19.25
-0.2961,0.1827,386,20,19.3
-0.28567,0.14493,387,20,19.35
-0.25699,0.14383,388,20,19.4
-0.23902,0.09577,389,20,19.45
-0.21791,0.06973,390,20,19.5
-0.22094,0.06467,391,20,19.55
-0.22778,0.0642,392,20,19.6
-0.21149,0.05838,393,20,19.65
-0.22819,0.06141,394,20,19.7
-0.22452,0.01733,395,20,19.75
-0.26091,-0.00268,396,20,19.8
-0.25427,0.048,397,20,19.85
-0.25088,0.04097,398,20,19.9
-0.24133,0.06534,399,20,19.95
-0.24658,0.05148,400,20,20.0
-0.23189,0.00394,401,20,20.05
-0.24458,-0.00375,402,20,20.1
-0.24155,0.04154,403,20,20.15
-0.23414,0.03334,404,20,20.2
-0.24295,0.02165,405,20,20.25
-0.21618,0.00718,406,20,20.3
-0.21924,-0.0015,407,20,20.35
-0.237,0.01799,408,20,20.4
-0.22558,0.01871,409,20,20.45
-0.24089,0.03144,410,20,20.5
-0.25217,0.00428,411,20,20.55
-0.20377,0.00874,412,20,20.6
-0.19318,-0.0006,413,20,20.65
-0.20142,-0.01175,414,20,20.7
-0.19534,0.00561,415,20,20.75
-0.17073,-0.00351,416,20,20.8
-0.18298,0.0095,417,20,20.85
-0.1632,0.01156,418,20,20.9
-0.17216,0.01139,419,20,20.95
-0.22133,0.00888,420,20,21.0
-0.19448,-0.00765,421,20,21.05
-0.20466,0.00394,422,20,21.1
-0.20461,0.02626,423,20,21.15
-0.20127,-0.00376,424,20,21.2
-0.20084,-0.00927,425,20,21.25
-0.18914,0.01845,426,20,21.3
-0.22456,0.04908,427,20,21.35
-0.20962,0.04872,428,20,21.4
-0.22329,0.09715,429,20,21.45
-0.21566,0.07466,430,20,21.5
-0.22132,0.0991,431,20,21.55
-0.21645,0.05065,432,20,21.6
-0.23179,0.04692,433,20,21.65
-0.21012,0.01939,434,20,21.7
-0.23128,0.03558,435,20,21.75
-0.23617,0.03263,436,20,21.8
-0.22466,0.05239,437,20,21.85
-0.2067,0.04755,438,20,21.9
-0.21019,0.07298,439,20,21.95
-0.21459,0.06037,440,20,22.0
-0.24071,0.07442,441,20,22.05
-0.23063,0.08511,442,20,22.1
-0.21666,0.09404,443,20,22.15
-0.19841,0.04377,444,20,22.2
-0.24235,0.0755,445,20,22.25
-0.27553,0.12764,446,20,22.3
-0.25614,0.07109,447,20,22.35
-0.30302,0.14832,448,20,22.4
-0.27221,0.12454,449,20,22.45
-0.29705,0.16857,450,20,22.5
-0.27006,0.11705,451,20,22.55
-0.25958,0.09339,452,20,22.6
-0.2254,0.0759,453,20,22.65
-0.28467,0.15993,454,20,22.7
-0.27941,0.16392,455,20,22.75
-0.27809,0.10283,456,20,22.8
-0.2764,0.05611,457,20,22.85
-0.23824,0.1068,458,20,22.9
-0.25357,0.10803,459,20,22.95
-0.25984,0.11204,460,20,23.0
-0.2589,0.06205,461,20,23.05
-0.2141,0.06849,462,20,23.1
-0.21153,0.0432,463,20,23.15
-0.26561,0.06482,464,20,23.2
-0.2083,0.0502,465,20,23.25
-0.22073,0.02246,466,20,23.3
-0.23004,0.0308,467,20,23.35
-0.24436,0.00908,468,20,23.4
-0.26247,0.03227,469,20,23.45
-0.25867,0.01879,470,20,23.5
-0.27314,0.03435,471,20,23.55
-0.26075,0.05503,472,20,23.6
-0.27509,0.06319,473,20,23.65
-0.26917,0.03265,474,20,23.7
-0.29923,0.07002,475,20,23.75
-0.27911,0.07787,476,20,23.8
-0.26681,0.12136,477,20,23.85
-0.27059,0.14052,478,20,23.9
-0.27168,0.10623,479,20,23.95
-0.28021,0.16444,480,20,24.0
-0.31688,0.20873,481,20,24.05
-0.29391,0.10383,482,20,24.1
-0.27184,0.13457,483,20,24.15
-0.30606,0.18225,484,20,24.2
-0.29981,0.16095,485,20,24.25
-0.27627,0.13496,486,20,24.3
-0.27492,0.12581,487,20,24.35
-0.27351,0.1308,488,20,24.4
-0.29684,0.15497,489,20,24.45
-0.28556,0.13457,490,20,24.5
-0.30693,0.16442,491,20,24.55
-0.28512,0.104,492,20,24.6
-0.28523,0.06197,493,20,24.65
-0.26447,0.06423,494,20,24.7
-0.21537,0.05651,495,20,24.75
-0.22764,0.06464,496,20,24.8
-0.27608,0.11565,497,20,24.85
-0.28039,0.13333,498,20,24.9
-0.25969,0.12129,499,20,24.95
-0.24939,0.06875,500,20,25.0
-0.27682,0.13293,501,20,25.05
-0.29797,0.17454,502,20,25.1
-0.31334,0.1557,503,20,25.15
-0.28211,0.15992,504,20,25.2
-0.2991,0.18049,505,20,25.25
-0.3038,0.18177,506,20,25.3
-0.31383,0.21809,507,20,25.35
-0.30742,0.19106,508,20,25.4
-0.3204,0.1911,509,20,25.45
-0.28843,0.15645,510,20,25.5
-0.26802,0.14712,511,20,25.55
-0.27366,0.13447,512,20,25.6
-0.31833,0.22545,513,20,25.65
-0.26727,0.13413,514,20,25.7
-0.25839,0.1076,515,20,25.75
-0.24456,0.07609,516,20,25.8
-0.23017,0.10173,517,20,25.85
-0.23623,0.06764,518,20,25.9
-0.2394,0.05527,519,20,25.95
-0.22377,0.0592,520,20,26.0
-0.24871,0.10941,521,20,26.05
-0.22087,0.1175,522,20,26.1
-0.25106,0.13997,523,20,26.15
-0.28847,0.16031,524,20,26.2
-0.32566,0.24923,525,20,26.25
-0.2563,0.12429,526,20,26.3
-0.24474,0.13385,527,20,26.35
-0.24491,0.1093,528,20,26.4
-0.26337,0.15121,529,20,26.45
-0.23354,0.10173,530,20,26.5
-0.17911,0.03425,531,20,26.55
-0.1963,0.03977,532,20,26.6
-0.20702,0.09517,533,20,26.65
-0.19527,0.02634,534,20,26.7
-0.20145,0.03065,535,20,26.75
-0.19438,0.01964,536,20,26.8
-0.23286,0.03775,537,20,26.85
-0.22796,0.03654,538,20,26.9
-0.24644,0.03045,539,20,26.95
-0.23415,0.0464,540,20,27.0
-0.25594,0.04767,541,20,27.05
-0.24167,0.02808,542,20,27.1
-0.22771,0.02232,543,20,27.15
-0.22363,-0.03154,544,20,27.2
-0.20716,-0.04867,545,20,27.25
-0.19896,0.01629,546,20,27.3
-0.18439,0.00842,547,20,27.35
-0.17405,-0.0302,548,20,27.4
-0.20337,0.02851,549,20,27.45
-0.2124,0.03642,550,20,27.5
-0.20068,0.02561,551,20,27.55
-0.20978,0.04069,552,20,27.6
-0.17587,0.01457,553,20,27.65
-0.1969,9e-05,554,20,27.7
-0.15648,-0.00251,555,20,27.75
-0.18752,-0.01281,556,20,27.8
-0.15799,-0.02537,557,20,27.85
-0.13684,-0.0209,558,20,27.9
-0.12517,-0.05922,559,20,27.95
-0.16204,-0.0271,560,20,28.0
-0.16943,-0.02433,561,20,28.05
-0.20157,-0.01538,562,20,28.1
-0.20417,-0.02781,563,20,28.15
-0.21121,-0.01045,564,20,28.2
-0.21833,0.01386,565,20,28.25
-0.23016,0.01009,566,20,28.3
-0.19793,-0.01671,567,20,28.35
-0.22176,-0.02399,568,20,28.4
-0.19864,-0.04699,569,20,28.45
-0.19605,-0.03565,570,20,28.5
-0.20085,-0.03979,571,20,28.55
-0.20293,-0.07496,572,20,28.6
-0.17835,-0.04893,573,20,28.65
-0.22591,-0.01929,574,20,28.7
-0.21838,-0.02779,575,20,28.75
-0.23201,-0.01987,576,20,28.8
-0.22082,-0.02523,577,20,28.85
-0.22533,-0.02386,578,20,28.9
-0.22497,-0.01149,579,20,28.95
-0.21101,-0.00311,580,20,29.0
-0.23887,-0.02543,581,20,29.05
-0.23321,0.00262,582,20,29.1
-0.26849,-0.01756,583,20,29.15
-0.22521,-0.00762,584,20,29.2
-0.2294,0.00684,585,20,29.25
-0.23945,-0.06485,586,20,29.3
-0.25917,-0.07354,587,20,29.35
-0.20225,-0.04675,588,20,29.4
-0.19758,-0.02081,589,20,29.45
-0.2222,-0.01333,590,20,29.5
-0.21031,-0.01439,591,20,29.55
-0.23769,-0.05306,592,20,29.6
-0.25453,-0.06316,593,20,29.65
-0.23801,-0.01793,594,20,29.7
-0.2372,-0.01359,595,20,29.75
-0.21499,-0.0068,596,20,29.8
-0.22854,-0.02689,597,20,29.85
-0.2185,0.01436,598,20,29.9
-0.27235,0.01882,599,20,29.95
-0.25231,-0.0156,600,20,30.0
-0.28103,-0.04004,601,20,30.05
-0.29651,-0.04458,602,20,30.1
-0.25368,-0.01349,603,20,30.15
-0.29311,-0.03946,604,20,30.2
-0.25076,-0.04345,605,20,30.25
-0.25677,-0.04737,606,20,30.3
-0.23792,-0.05172,607,20,30.35
-0.25897,-0.05681,608,20,30.4
-0.24964,-0.06773,609,20,30.45
-0.2411,-0.06393,610,20,30.5
-0.28007,-0.05919,611,20,30.55
-0.29757,-0.07386,612,20,30.6
-0.29725,-0.08566,613,20,30.65
-0.27195,-0.04913,614,20,30.7
-0.25991,-0.06393,615,20,30.75
-0.24597,-0.09177,616,20,30.8
-0.29224,-0.10541,617,20,30.85
-0.30658,-0.11205,618,20,30.9
-0.3302,-0.08802,619,20,30.95
-0.25308,-0.05928,620,20,31.0
