Valence,Arousal,FNO,FPS,X-axis
-0.27622,0.06851,1,20,0.05
-0.27494,0.06906,2,20,0.1
-0.27497,0.07713,3,20,0.15
-0.25373,0.07086,4,20,0.2
-0.26882,0.06579,5,20,0.25
-0.2573,0.03299,6,20,0.3
-0.23109,0.04614,7,20,0.35
-0.27847,0.06963,8,20,0.4
-0.26095,0.08825,9,20,0.45
-0.28503,0.10619,10,20,0.5
-0.28371,0.10838,11,20,0.55
-0.26249,0.08206,12,20,0.6
-0.29671,0.11305,13,20,0.65
-0.30177,0.12862,14,20,0.7
-0.29503,0.11643,15,20,0.75
-0.25714,0.09475,16,20,0.8
-0.25778,0.09685,17,20,0.85
-0.26302,0.08998,18,20,0.9
-0.26218,0.07796,19,20,0.95
-0.26823,0.07804,20,20,1.0
-0.25023,0.06161,21,20,1.05
-0.25047,0.02231,22,20,1.1
-0.25578,0.02711,23,20,1.15
-0.24769,0.0323,24,20,1.2
-0.23519,0.01641,25,20,1.25
-0.22113,0.00879,26,20,1.3
-0.22961,0.01733,27,20,1.35
-0.23084,0.01303,28,20,1.4
-0.23791,0.00685,29,20,1.45
-0.23739,0.01225,30,20,1.5
-0.22724,0.02525,31,20,1.55
-0.23107,0.03527,32,20,1.6
-0.23511,0.04029,33,20,1.65
-0.22779,0.03436,34,20,1.7
-0.22149,0.03003,35,20,1.75
-0.22472,0.04428,36,20,1.8
-0.23566,0.05547,37,20,1.85
-0.26012,0.06539,38,20,1.9
-0.24881,0.06201,39,20,1.95
-0.22973,0.05386,40,20,2.0
-0.21539,0.04972,41,20,2.05
-0.22248,0.07737,42,20,2.1
-0.2162,0.06363,43,20,2.15
-0.22011,0.05193,44,20,2.2
-0.19491,0.04304,45,20,2.25
-0.20247,0.04276,46,20,2.3
-0.21005,0.05895,47,20,2.35
-0.21881,0.06911,48,20,2.4
-0.21089,0.06541,49,20,2.45
-0.23307,0.06866,50,20,2.5
-0.22669,0.04793,51,20,2.55
-0.22946,0.05727,52,20,2.6
-0.23242,0.06063,53,20,2.65
-0.24843,0.04524,54,20,2.7
-0.22745,0.04218,55,20,2.75
-0.26628,0.09183,56,20,2.8
-0.25137,0.08563,57,20,2.85
-0.2455,0.06064,58,20,2.9
-0.24755,0.06114,59,20,2.95
-0.25577,0.0818,60,20,3.0
-0.24178,0.07753,61,20,3.05
-0.24749,0.07501,62,20,3.1
-0.24956,0.1012,63,20,3.15
-0.25592,0.09921,64,20,3.2
-0.25077,0.08979,65,20,3.25
-0.24838,0.08353,66,20,3.3
-0.27464,0.12488,67,20,3.35
-0.2762,0.10559,68,20,3.4
-0.2739,0.10518,69,20,3.45
-0.26688,0.10274,70,20,3.5
-0.27717,0.09904,71,20,3.55
-0.28712,0.10511,72,20,3.6
-0.25819,0.06778,73,20,3.65
-0.26708,0.06637,74,20,3.7
-0.25481,0.09501,75,20,3.75
-0.24716,0.07446,76,20,3.8
-0.24509,0.07812,77,20,3.85
-0.25215,0.08951,78,20,3.9
-0.27919,0.09809,79,20,3.95
-0.26411,0.08026,80,20,4.0
-0.25483,0.07222,81,20,4.05
-0.25455,0.07866,82,20,4.1
-0.2623,0.0722,83,20,4.15
-0.26305,0.08015,84,20,4.2
-0.25709,0.07663,85,20,4.25
-0.24769,0.05898,86,20,4.3
-0.27241,0.11375,87,20,4.35
-0.26206,0.1248,88,20,4.4
-0.24636,0.10211,89,20,4.45
-0.23122,0.06439,90,20,4.5
-0.22563,0.05578,91,20,4.55
-0.22197,0.05277,92,20,4.6
-0.2334,0.05749,93,20,4.65
-0.24642,0.07508,94,20,4.7
-0.25095,0.06489,95,20,4.75
-0.25173,0.06205,96,20,4.8
-0.22183,0.0423,97,20,4.85
-0.23568,0.04068,98,20,4.9
-0.21864,0.04371,99,20,4.95
-0.22818,0.05663,100,20,5.0
-0.19627,0.04697,101,20,5.05
-0.21881,0.03047,102,20,5.1
-0.21123,0.03382,103,20,5.15
-0.20103,0.02208,104,20,5.2
-0.19388,0.02148,105,20,5.25
-0.20502,0.05131,106,20,5.3
-0.20679,0.05457,107,20,5.35
-0.25692,0.06411,108,20,5.4
-0.25907,0.04285,109,20,5.45
-0.26764,0.05168,110,20,5.5
-0.23454,0.0428,111,20,5.55
-0.26075,0.04428,112,20,5.6
-0.25468,0.00896,113,20,5.65
-0.21932,0.02281,114,20,5.7
-0.24351,0.02189,115,20,5.75
-0.25954,0.02966,116,20,5.8
-0.24684,0.03666,117,20,5.85
-0.23984,0.03813,118,20,5.9
-0.22519,0.03556,119,20,5.95
-0.25571,0.04037,120,20,6.0
-0.23985,0.05081,121,20,6.05
-0.24173,0.04021,122,20,6.1
-0.25493,0.0377,123,20,6.15
-0.24116,0.03777,124,20,6.2
-0.24774,0.02734,125,20,6.25
-0.24755,0.04054,126,20,6.3
-0.24348,0.04048,127,20,6.35
-0.25487,0.03894,128,20,6.4
-0.22969,0.00952,129,20,6.45
-0.24728,0.03149,130,20,6.5
-0.25612,0.02358,131,20,6.55
-0.24338,0.01567,132,20,6.6
-0.25196,0.01282,133,20,6.65
-0.24759,0.01568,134,20,6.7
-0.24489,0.01171,135,20,6.75
-0.22771,0.02838,136,20,6.8
-0.23252,0.01514,137,20,6.85
-0.26256,0.01849,138,20,6.9
-0.26124,0.00022,139,20,6.95
-0.27571,-0.0217,140,20,7.0
-0.25742,-0.01606,141,20,7.05
-0.27357,0.00353,142,20,7.1
-0.25073,0.0126,143,20,7.15
-0.26682,0.03496,144,20,7.2
-0.26693,0.01949,145,20,7.25
-0.24506,0.06003,146,20,7.3
-0.26216,0.04465,147,20,7.35
-0.29809,0.07408,148,20,7.4
-0.29036,0.0503,149,20,7.45
-0.2485,0.07119,150,20,7.5
-0.23892,0.05413,151,20,7.55
-0.25101,0.08154,152,20,7.6
-0.2711,0.01537,153,20,7.65
-0.30223,0.03404,154,20,7.7
-0.27472,0.05686,155,20,7.75
-0.24213,0.08846,156,20,7.8
-0.24715,0.08336,157,20,7.85
-0.20753,0.07161,158,20,7.9
-0.18234,0.04632,159,20,7.95
-0.2068,0.09643,160,20,8.0
-0.20759,0.06524,161,20,8.05
-0.23379,0.05644,162,20,8.1
-0.24784,0.06373,163,20,8.15
-0.23734,0.03721,164,20,8.2
-0.22334,0.05089,165,20,8.25
-0.2331,0.08372,166,20,8.3
-0.24944,0.08265,167,20,8.35
-0.25686,0.10291,168,20,8.4
-0.24869,0.08272,169,20,8.45
-0.25456,0.06855,170,20,8.5
-0.28188,0.07208,171,20,8.55
-0.27412,0.07076,172,20,8.6
-0.27797,0.03962,173,20,8.65
-0.28584,0.01469,174,20,8.7
-0.24569,0.02127,175,20,8.75
-0.27044,0.04394,176,20,8.8
-0.25752,0.02237,177,20,8.85
-0.2522,0.05577,178,20,8.9
-0.21971,0.04044,179,20,8.95
-0.22972,0.06075,180,20,9.0
-0.23131,0.07122,181,20,9.05
-0.23701,0.08899,182,20,9.1
-0.25684,0.06942,183,20,9.15
-0.26221,0.10343,184,20,9.2
-0.26389,0.09344,185,20,9.25
-0.27194,0.10383,186,20,9.3
-0.26319,0.09352,187,20,9.35
-0.22171,0.07972,188,20,9.4
-0.23619,0.07558,189,20,9.45
-0.24032,0.07201,190,20,9.5
-0.27589,0.12729,191,20,9.55
-0.29503,0.13973,192,20,9.6
-0.29209,0.12065,193,20,9.65
-0.28865,0.12016,194,20,9.7
-0.29247,0.12732,195,20,9.75
-0.28992,0.13706,196,20,9.8
-0.29826,0.14814,197,20,9.85
-0.302,0.11528,198,20,9.9
-0.28482,0.09169,199,20,9.95
-0.27565,0.10519,200,20,10.0
-0.26912,0.08993,201,20,10.05
-0.24489,0.09776,202,20,10.1
-0.26107,0.07497,203,20,10.15
-0.27267,0.07278,204,20,10.2
-0.27324,0.06515,205,20,10.25
-0.27776,0.04566,206,20,10.3
-0.28151,0.06795,207,20,10.35
-0.27765,0.05806,208,20,10.4
-0.27126,0.08137,209,20,10.45
-0.26544,0.08644,210,20,10.5
-0.26494,0.08116,211,20,10.55
-0.24713,0.06322,212,20,10.6
-0.2228,0.05416,213,20,10.65
-0.25642,0.06744,214,20,10.7
-0.26777,0.08942,215,20,10.75
-0.26381,0.08336,216,20,10.8
-0.25126,0.06917,217,20,10.85
-0.23775,0.06297,218,20,10.9
-0.26339,0.06961,219,20,10.95
-0.25246,0.06081,220,20,11.0
-0.24704,0.07071,221,20,11.05
-0.23167,0.06025,222,20,11.1
-0.24848,0.05597,223,20,11.15
-0.22103,0.03788,224,20,11.2
-0.23716,0.02783,225,20,11.25
-0.26245,0.04023,226,20,11.3
-0.28059,0.02872,227,20,11.35
-0.25736,0.02532,228,20,11.4
-0.27646,0.0354,229,20,11.45
-0.2547,0.01827,230,20,11.5
-0.26345,0.00894,231,20,11.55
-0.25456,0.01677,232,20,11.6
-0.2508,0.01664,233,20,11.65
-0.24672,0.03008,234,20,11.7
-0.23481,0.02353,235,20,11.75
-0.22633,0.03306,236,20,11.8
-0.25336,0.02602,237,20,11.85
-0.24471,0.03285,238,20,11.9
-0.24695,0.03495,239,20,11.95
-0.2429,0.03764,240,20,12.0
-0.24185,0.03532,241,20,12.05
-0.22701,0.02994,242,20,12.1
-0.21577,0.03432,243,20,12.15
-0.21772,0.04264,244,20,12.2
-0.23126,0.03209,245,20,12.25
-0.22743,0.03314,246,20,12.3
-0.22376,0.04071,247,20,12.35
-0.22699,0.03798,248,20,12.4
-0.22566,0.04518,249,20,12.45
-0.23605,0.03952,250,20,12.5
-0.26946,0.14592,251,20,12.55
-0.24771,0.1133,252,20,12.6
-0.26599,0.12584,253,20,12.65
-0.26,0.1324,254,20,12.7
-0.27824,0.14941,255,20,12.75
-0.27112,0.15371,256,20,12.8
-0.23278,0.00494,257,20,12.85
-0.2237,0.02649,258,20,12.9
-0.22521,0.0471,259,20,12.95
-0.24025,0.03959,260,20,13.0
-0.25124,0.02165,261,20,13.05
